,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
58,Beautiful Duplex Apartment,Park Slope,40.67115,-73.98026,Entire home/apt,220,30,91,320,0
59,"Modern Brooklyn Apt., August sublet",Williamsburg,40.71649,-73.94865,Entire home/apt,83,30,29,0,0
60,"1,800 sq foot in luxury building",Harlem,40.8104,-73.94309,Private room,100,1,190,307,1
61,"Times Square, Safe, Clean and Cozy!",Hell's Kitchen,40.75603,-73.99294,Private room,89,2,415,254,1
62,Park Slope Green Guest House,South Slope,40.6686,-73.98723,Entire home/apt,90,30,476,175,0
63,Comfortable UWS 2-BD Family-Friendly Brownstone,Upper West Side,40.77839,-73.97778,Entire home/apt,225,30,28,254,0
64,Sugar Hill Rest Stop,Harlem,40.82682,-73.94948,Entire home/apt,170,2,217,342,0
65,East Village Sanctuary,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,0,0
66,2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,Prospect-Lefferts Gardens,40.6545,-73.96071,Private room,75,2,9,331,1
67,Garden studio in the Upper East Sid,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,21,338,0
68,B & B Room 1,Bedford-Stuyvesant,40.68288,-73.95646,Private room,80,30,68,250,1
69,"Comfortable, Sunny Room",Clinton Hill,40.68292,-73.96381,Private room,89,3,293,298,1
70,Stylish Apartment with office space Near SoHo!,Lower East Side,40.72314,-73.99108,Entire home/apt,175,30,117,306,0
71,Most Central Location!,Hell's Kitchen,40.7672,-73.98464,Private room,100,28,68,323,1
72,Luminous Beautiful West Village Studio,West Village,40.73405,-74.00281,Entire home/apt,135,30,32,0,0
73,Sanctuary in East Flatbush,East Flatbush,40.6327,-73.93184,Private room,80,30,4,178,1
74,Room with En Suite Bathroom & Deck,Clinton Hill,40.68818,-73.96383,Private room,90,2,497,222,1
75,Huge Private  Floor at The Waverly,Clinton Hill,40.68513,-73.96648,Private room,139,30,92,364,1
76,Fully Furnished Beautiful 1 Bedroom,East Village,40.72741,-73.98405,Entire home/apt,160,14,3,338,0
77,Retreat in Williamsburg,Williamsburg,40.71512,-73.95899,Entire home/apt,206,4,274,315,0
78,NYC Zen,East Village,40.72367,-73.98139,Entire home/apt,125,1,34,170,0
79,"Sunny, Clean Zen Home w pr.Bath",Upper West Side,40.78763,-73.96862,Entire home/apt,139,120,20,0,0
80,Great location. Spacious 2BR near PROSPECT PARK,Prospect Heights,40.67447,-73.96619,Entire home/apt,121,30,4,363,0
81,Private Bdrm/Bathrm. New! Elevator!,East Harlem,40.79128,-73.94125,Private room,72,4,35,341,1
82,"Sunny, clean 1 bdrm in W. Village",West Village,40.73271,-74.00367,Entire home/apt,200,30,136,339,0
83,Luxury Brownstone in Boerum Hill,Boerum Hill,40.68442,-73.98068,Entire home/apt,675,3,29,210,0
84,â€œWork-from-homeâ€ from OUR home.,Williamsburg,40.70978,-73.95165,Private room,75,7,234,39,1
85,1 br in a 2 br apt (Midtown West),Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,365,1
86,A room of own with a Manhattan view,Sunnyside,40.74523,-73.92318,Private room,78,90,29,335,1
87,"Private, Large & Sunny 1BR w/W&D",Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,0,0
88,Beautiful Lower East Side Loft,Lower East Side,40.71992,-73.99167,Entire home/apt,500,5,63,220,0
89,House On Henry (2nd FLR Suite),Carroll Gardens,40.67813,-74.00062,Entire home/apt,190,4,173,341,0
90,New York room with a view,St. George,40.64633,-74.08156,Private room,70,2,176,237,1
91,"Apartment in Tribeca, NYC Panoramic VIEWS~",Tribeca,40.721,-74.00971,Entire home/apt,250,30,13,298,0
92,Room with a View,Highbridge,40.83225,-73.93092,Private room,50,1,293,160,1
93,BROOKLYN VICTORIAN STYLE SUITE.....,Fort Greene,40.69287,-73.97108,Private room,110,30,231,365,1
94,Private studio in West Village on quite street,West Village,40.73737,-74.00437,Entire home/apt,194,30,88,18,0
95,Private  Bedroom,Harlem,40.8227,-73.95111,Private room,116,5,49,32,1
96,Creative South Williamsburg Studio,Williamsburg,40.70894,-73.95234,Entire home/apt,98,30,123,122,0
97,Clean and Cozy Harlem Apartment,Harlem,40.82569,-73.93842,Entire home/apt,100,30,18,0,0
98,"Fort Greene, Brooklyn: Center Bedroom",Fort Greene,40.68834,-73.97578,Private room,65,2,293,149,1
99,Amazing West Village Apt,West Village,40.73948,-74.00504,Private room,60,30,24,361,1
100,Beautiful Queens Brownstone! - 5BR,Ridgewood,40.70309,-73.89963,Entire home/apt,395,30,13,349,0
101,Room in Beautiful Townhouse.,Mott Haven,40.80635,-73.92201,Private room,60,30,0,83,1
102,Couldn't Be Closer To Columbia Uni,Morningside Heights,40.8063,-73.95985,Private room,75,31,131,365,1
103,Park Slope haven 15 mins from Soho,Park Slope,40.67979,-73.97978,Entire home/apt,150,30,58,162,0
104,Large Room in private Brownstone in Park Slope,Prospect Heights,40.68022,-73.97457,Private room,150,3,58,289,1
105,"BIG, COMFY ROOM W/YARD IN WILL-B",Williamsburg,40.7124,-73.94764,Private room,81,30,28,321,1
106,B and B Style Rooms for Rent w bath,Bedford-Stuyvesant,40.6829,-73.95701,Private room,90,30,21,212,1
107,"Lovely Apt & Garden;  Legal; Amenities, Spotless",Gowanus,40.66913,-73.99041,Entire home/apt,158,4,202,313,0
108,1 Bedroom in 2 Bdrm Apt- Upper East,Upper East Side,40.77449,-73.95308,Private room,130,14,0,0,1
109,( F) Excellent/Pvt Rm,Jamaica,40.67144,-73.76501,Private room,65,30,53,365,1
110,Sunny Astoria 2BR near subway & restaurants,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,140,4,14,137,0
111,cozy studio with parking spot,Middle Village,40.71567,-73.87842,Entire home/apt,107,30,33,355,0
112,Clean and convenient 2BR apartment,Ridgewood,40.70422,-73.89778,Private room,186,30,6,365,1
113,3 floors of luxury!,Middle Village,40.71778,-73.87714,Entire home/apt,350,30,16,343,0
114,Beautiful Uptown Manhattan apartmnt,Harlem,40.80255,-73.95803,Private room,200,30,0,365,1
115,Sml Rm  Brst  PSl great for longer stays Med/Stu,Park Slope,40.67908,-73.97405,Private room,74,2,117,318,1
116,Cozy bedroom by Yankee Stadium,Highbridge,40.83231,-73.9305,Private room,55,1,196,352,1
117,(H) Great Deal/Pvt Rm,Jamaica,40.67144,-73.76501,Private room,65,30,62,0,1
118,Great apartment with private bathroom and entrance,East Harlem,40.79934,-73.94236,Private room,100,5,246,248,1
119,Cozy 2 br in sunny Fort Greene apt,Fort Greene,40.68701,-73.97555,Private room,85,3,38,0,1
120,City Room - Private & Comfy Bedroom,Harlem,40.81201,-73.94452,Private room,76,3,218,68,1
121,Elegant NYC Pad,Ditmars Steinway,40.77155,-73.90564,Entire home/apt,149,3,74,341,0
122,"Clean & bright 1BR in Cobble Hill, GREAT location!",Brooklyn Heights,40.69003,-73.99338,Entire home/apt,168,3,248,5,0
123,"Great new apt, close to everything",Hell's Kitchen,40.76505,-73.98716,Entire home/apt,250,3,116,0,0
124,Stylish Large SPARKLING Gramercy Loft!,Flatiron District,40.74166,-73.9866,Entire home/apt,294,2,147,191,0
125,The Brownstone-Luxury 1 Bd Apt/NYC,East Harlem,40.80747,-73.94076,Entire home/apt,160,3,296,237,0
126,Private Room on Historic Sugar Hill,Harlem,40.8238,-73.94444,Private room,58,2,578,174,1
127,South Slope Green,Windsor Terrace,40.65912,-73.9842,Private room,139,2,25,65,1
128,"Spacious 1BR, Adorable Clean Quiet",Lower East Side,40.71946,-73.98641,Entire home/apt,150,30,57,365,0
129,"Nice, clean, safe, convenient 3BR",Ridgewood,40.70271,-73.8993,Entire home/apt,188,30,2,365,0
130,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Chinatown,40.7178,-73.9932,Entire home/apt,250,7,34,48,0
131,"Beautiful, elegant 3 bed SOHO loft",Tribeca,40.72012,-74.00397,Entire home/apt,500,30,107,275,0
132,Sunny East Village Apartment with rooftop,East Village,40.7253,-73.98028,Entire home/apt,195,45,37,279,0
133,Spacious Greenwich Village Apt,Greenwich Village,40.73072,-73.99275,Entire home/apt,250,30,10,0,0
134,City Room - Private Luxury Suite,Harlem,40.81006,-73.94559,Private room,111,3,219,57,1
135,Private Room/bath Luxurious Harlem,Harlem,40.81562,-73.94674,Private room,125,30,3,365,1
136,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",East Village,40.72598,-73.97978,Entire home/apt,135,30,163,339,0
137,"Bright and spacious, garden below!",Upper West Side,40.79918,-73.96248,Entire home/apt,211,30,4,0,0
138,"Quiet, clean midtown apt w. elevato",Midtown,40.75743,-73.96825,Entire home/apt,110,200,92,0,0
139,Great East Village Apartment Rental,East Village,40.72825,-73.98959,Entire home/apt,130,30,61,169,0
140,"Great Apt, Great Location",Upper West Side,40.79523,-73.9728,Entire home/apt,170,30,30,331,0
141,Smallest House In The Village,East Village,40.72297,-73.98265,Entire home/apt,175,4,206,187,0
142,Beautiful modern studio apartment in heart of NYC,Chelsea,40.741,-73.99562,Entire home/apt,205,30,68,49,0
143,Beautiful Landmarked Duplex,Greenpoint,40.72967,-73.95352,Entire home/apt,285,3,145,318,0
144,LL3,Clason Point,40.81161,-73.85499,Private room,89,30,0,315,1
145,"Private, Large & Sunny Top Floor Apt  w/W&D",Bedford-Stuyvesant,40.68253,-73.94295,Entire home/apt,135,30,268,0,0
146,Cottage in the Village,East Village,40.72219,-73.98245,Entire home/apt,390,7,153,0,0
147,Williamsburg loft bunk bed   l,Williamsburg,40.70705,-73.95489,Private room,50,31,14,279,1
148,Prime East Village 1 Bedroom,East Village,40.72863,-73.9842,Entire home/apt,200,30,0,0,0
149,BROOKLYN  STUDIO APARTMENT,Crown Heights,40.67582,-73.94316,Private room,100,3,308,255,1
150,cozy bedroom in lovely garden apt,Crown Heights,40.67634,-73.95143,Private room,75,30,45,338,1
151,East village one bedroom apartment,East Village,40.72356,-73.97808,Entire home/apt,105,30,69,73,0
152,Crown Heights Garden Apt.,Crown Heights,40.67579,-73.95072,Private room,60,30,244,307,1
153,ENJOY Downtown NYC!!,East Village,40.72497,-73.98356,Private room,40,7,224,59,1
154,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Bedford-Stuyvesant,40.68305,-73.95195,Private room,75,5,63,323,1
155,Entire 2 Bedroom Apartment,Nolita,40.72021,-73.99426,Entire home/apt,399,1,1,337,0
156,Farmhouse Apartment in Williamsburg,Williamsburg,40.7106,-73.95178,Entire home/apt,85,10,56,0,0
157,Bright+Spacious Williamsburg Abode!,Williamsburg,40.70797,-73.94792,Entire home/apt,106,30,159,91,0
158,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Harlem,40.82899,-73.94345,Private room,75,3,20,338,1
159,CHARMING CARROLL GARDENS APT.,Carroll Gardens,40.68028,-73.99328,Entire home/apt,190,30,68,52,0
160,East Village Loft with Piano & Patio,East Village,40.72547,-73.98619,Entire home/apt,278,3,122,72,0
161,Lower East Side Magic Apartment Entire Apartment!!,Nolita,40.72036,-73.99435,Entire home/apt,485,1,161,347,0
162,West Harlem Home Base - Eco-Apt.,Harlem,40.81263,-73.95214,Entire home/apt,76,30,216,282,0
163,Charming Garden Apt in Park Slope,Park Slope,40.67548,-73.98315,Entire home/apt,130,2,259,168,0
164,"Lovely, Modern, Garden Apartment",Gowanus,40.68088,-73.99102,Entire home/apt,190,2,152,291,0
165,Central Park 1BR sunny condo,East Harlem,40.79544,-73.94836,Entire home/apt,115,28,38,269,0
