,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
56,Downtown One-Bed Apt w/Balcony! Brooks Tower 4G,CBD,39.74634,-104.99678,Entire home/apt,78,30,5,0,0
57,Two-Story Open Condo with GREAT Outdoor Rooftop!,Capitol Hill,39.73484,-104.98193,Entire home/apt,125,2,161,10,0
58,Spacious One Bedroom w/Balcony: Brooks Tower 4A,CBD,39.74634,-104.99678,Entire home/apt,56,30,7,181,0
59,Private balcony! Brooks Tower 6A,CBD,39.74634,-104.99678,Entire home/apt,78,30,5,181,0
60,Spacious 1928 Bungalow near Sloan's Lake.,West Colfax,39.73995,-105.04053,Entire home/apt,245,3,119,121,0
61,2 Bdrm Suite in Victorian (Denver Botanic Gardens),Congress Park,39.73424,-104.95933,Private room,102,29,133,0,1
62,Bright & Cosy Studio Near Shops and Restaurants,Berkeley,39.77863,-105.02618,Entire home/apt,66,1,270,85,0
63,West Highlands Sweet Retreat!,West Highland,39.76779,-105.05005,Entire home/apt,128,30,74,236,0
64,W. Wash Park Artist Bungalow,Speer,39.72088,-104.98371,Entire home/apt,108,29,30,88,0
65,Newly Renovated Apartment-Perfect for Families!,West Colfax,39.73723,-105.04561,Entire home/apt,88,3,201,91,0
66,Park Hill Denver: Shady Retreat,South Park Hill,39.74446,-104.91113,Private room,60,31,39,265,1
67,Charming 1890's Victorian Cottage by Sloan's Lake,Sloan Lake,39.75459,-105.04991,Entire home/apt,206,3,34,146,0
68,Beautiful Private Basement Suite near Downtown,Cheesman Park,39.73799,-104.97219,Private room,101,1,1174,279,1
69,Stylish & Historic LoHi Loft on Wyandot,Highland,39.75901,-105.01541,Entire home/apt,130,29,68,274,0
70,Cozy and Convenient in Capitol Hill,Cheesman Park,39.7388,-104.96965,Private room,56,29,169,305,1
71,Peaceful Retreat in Congress Park,Congress Park,39.73377,-104.94866,Private room,78,29,253,348,1
72,Best Location HUGE 1 bedroom loft,CBD,39.74569,-104.99202,Entire home/apt,227,2,268,154,0
73,PrivateBdrmShareBath*LadiesOnly*Walk DU&PorterHos,University,39.66641,-104.96614,Private room,24,7,94,122,1
74,"Charming, cozy, private hideaway",Berkeley,39.77954,-105.03991,Entire home/apt,110,30,70,232,0
75,Modern 4 Story LoHi Home | Panoramic Rooftop Views,Highland,39.76823,-105.00989,Entire home/apt,845,1,32,142,0
76,High-Rise Condo in Heart of Denver,CBD,39.74578,-104.99603,Entire home/apt,200,29,15,177,0
77,Artist Cottage in Denver,Clayton,39.76476,-104.95804,Private room,39,30,297,87,1
78,Wash Park/DU • 10 Mins Downtown • Family Friendly,Platt Park,39.67937,-104.97808,Entire home/apt,150,29,8,71,0
79,Sunny private house&driveway,Montclair,39.74008,-104.91957,Entire home/apt,139,29,34,85,0
80,"HOT! Best Location.  Cozy, quiet. CLOROX CLEAN!",City Park West,39.74245,-104.9681,Entire home/apt,65,30,49,336,0
81,Architect Owned Unique Retreat in the Art District,Lincoln Park,39.73499,-105.00108,Entire home/apt,246,29,415,329,0
82,Designer Home Away From Home,Hilltop,39.72112,-104.91342,Entire home/apt,92,30,155,212,0
83,Sleeps 6 - Duplex 2 miles from Downtown Denver,Sunnyside,39.77049,-105.00101,Entire home/apt,114,1,67,164,0
84,Modern Studio,Hilltop,39.7212,-104.91337,Entire home/apt,70,30,150,332,0
85,"Cozy Cottage in the Country Club,",Country Club,39.72367,-104.96557,Entire home/apt,260,7,83,346,0
86,"Spacious victorian, bright and airy near downtown.",Clayton,39.76768,-104.9551,Entire home/apt,221,4,73,364,0
87,"BEST! Location, open, quiet, CLOROX CLEAN!",City Park West,39.74245,-104.9681,Entire home/apt,72,30,29,332,0
88,Quiet Highlands Cottage,West Highland,39.76567,-105.0348,Entire home/apt,115,30,246,216,0
89,The Cloisters at Berkeley,Berkeley,39.7796,-105.03859,Entire home/apt,70,30,39,214,0
90,Sunny Sky Loft in Highlands,West Highland,39.76777,-105.03529,Entire home/apt,130,7,94,0,0
91,Remodeled Victorian Condo!,City Park West,39.74296,-104.96941,Entire home/apt,70,90,3,365,0
92,HISTORIC COTTAGE IN BONNIE BRAE,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300,29,11,363,0
93,Parkside 5280,City Park,39.74241,-104.95097,Entire home/apt,127,1,483,75,0
94,Beautiful!! Just Minutes from Downtown!  Hot Tub!,Athmar Park,39.7038,-105.0116,Entire home/apt,199,3,16,235,0
95,Brand New Modern Stapleton Home,Stapleton,39.75778,-104.85861,Entire home/apt,243,2,164,362,0
96,Amazing Guesthouse-Perfect Lohi/Highland Location,Highland,39.76382,-105.01973,Entire home/apt,159,3,180,162,0
97,House on Stout: Mesa,Five Points,39.75362,-104.982498,Private room,81,2,204,0,1
98,Private Queen Room w Ensuite Bath,Five Points,39.74687,-104.97561,Private room,74,29,146,365,1
99,Cozy Cottage in Lower Highlands 2BR,Highland,39.7682,-105.00232,Entire home/apt,150,30,20,212,0
100,"Cozy condo, 700 sq ft. near Lowry",Windsor,39.70705,-104.8916,Entire home/apt,75,180,13,278,0
101,Peaceful Queen in Congress Park,Congress Park,39.73396,-104.94702,Private room,60,29,204,346,1
102,Cozy Cottage in Lo Highlands Mr bed,Highland,39.76794,-105.00146,Private room,106,30,10,212,1
103,Amazing Condo - in Denver's heart,CBD,39.74399,-104.99495,Entire home/apt,225,31,23,88,0
104,Minutes from Downtown!  Beautifully Remodeled!,Athmar Park,39.70304,-105.01177,Entire home/apt,199,3,142,235,0
105,Historic 1800s townhouse @ downtown by Superhost,Baker,39.72287,-104.995,Entire home/apt,69,30,86,142,0
106,Sloan's Lake Highlands Bungalow,West Highland,39.75936,-105.04792,Entire home/apt,150,29,24,129,0
107,Large designer house near downtown!  Walk to all!,Baker,39.72403,-104.99283,Entire home/apt,529,2,147,0,0
108,Quiet Kirk Street Vacation Rental,Gateway - Green Valley Ranch,39.78271,-104.74694,Entire home/apt,315,30,51,364,0
109,In the Heart of Highlands -  Staycation Retreat!!!,West Highland,39.76169,-105.03382,Entire home/apt,133,30,35,147,0
110,"Seasonal Special -Sunny, Clean Room & Workspace",Indian Creek,39.68931,-104.90138,Private room,49,29,35,146,1
111,Classic Home on Capitol Hill,Capitol Hill,39.73193,-104.97878,Entire home/apt,165,29,21,53,0
112,Modern Urban Oasis in Rino,Cole,39.77101,-104.96639,Entire home/apt,604,1,218,359,0
113,Authentic loft in Lodo across from Union Station,Union Station,39.75363,-104.99947,Entire home/apt,190,29,37,100,0
114,Art Deco Boho close to everything!,Athmar Park,39.70719,-105.01878,Entire home/apt,279,1,1,118,0
115,"Gorgeous 2 BR, 2 BA Townhome!",Five Points,39.75049,-104.97555,Entire home/apt,176,3,95,49,0
116,Private basement apartment on park.,Rosedale,39.67652,-104.97801,Entire home/apt,93,2,118,266,0
117,1BD City Park Carriage House,City Park West,39.74972,-104.97222,Entire home/apt,55,30,24,121,0
118,Modern Oasis Near RiNo Arts District,Whittier,39.7574,-104.96713,Entire home/apt,171,2,136,165,0
119,Carriage House-Highlands Square,West Highland,39.76178,-105.03885,Entire home/apt,170,30,255,87,0
120,"CountryClub home, Quiet, Safe, Gated, Exclusive",Fort Logan,39.64468,-105.0653,Private room,77,31,12,88,1
121,Unique 3-Level Loft in Famous Ballpark Neighborhood,Five Points,39.75469,-104.98785,Entire home/apt,114,30,481,0,0
122,In Highlands w/Garage!,Highland,39.76889,-105.02156,Entire home/apt,207,29,134,177,0
123,Cowork in Bright Mod Downtown Home w/ Dual Offices,Lincoln Park,39.73248,-104.99906,Entire home/apt,139,6,86,133,0
124,Newly remodeled ground level basement 3 BR,University,39.6631,-104.96774,Private room,125,31,10,364,1
125,Room/Bath in Historic Mansion,Capitol Hill,39.73308,-104.97996,Private room,115,29,173,365,1
126,Luxury Townhome with Rooftop Views,Sunnyside,39.77339,-105.01183,Entire home/apt,218,2,21,23,0
127,"SkyView Loft, in Healing Center ~ 30 DAYS OR MORE",City Park,39.74172,-104.95845,Entire home/apt,80,30,100,228,0
128,Highlands Hen House,Highland,39.76826,-105.01828,Entire home/apt,95,2,407,291,0
129,City Park Garden Level - 90 day plus,Skyland,39.75805,-104.9581,Entire home/apt,63,89,144,168,0
130,Stunning Loft in Lodo w/ 1000sf private roof patio,Union Station,39.75297,-104.99949,Entire home/apt,850,29,4,303,0
131,Modern 1 Bed / 1 Bath Apartment in Uptown,North Capitol Hill,39.74367,-104.97908,Entire home/apt,110,60,7,257,0
132,Your  Denver Get Away!  3 bedroom 2 bath house.,Platt Park,39.68769,-104.98715,Entire home/apt,170,29,28,364,0
133,Modern Loft in Union Station North/Downtown,Five Points,39.76011,-104.99781,Entire home/apt,130,30,13,364,0
134,The Spectrum Inn,Skyland,39.76146,-104.9503,Entire home/apt,73,3,162,215,0
135,Relax on City Park + Barrel Steam Sauna + Hot Tub,Skyland,39.75546,-104.95573,Entire home/apt,149,2,135,60,0
136,own bed and bath,Windsor,39.70876,-104.89068,Private room,40,90,15,130,1
137,Beautiful home in Wash/Platt Park,Platt Park,39.69036,-104.98581,Private room,69,29,99,246,1
138,40th Floor with Endless Mountain & City Views,CBD,39.74458,-104.99588,Entire home/apt,190,30,9,324,0
