,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
3095,Cozy Pet Friendly Home -  Perfect Long-Term Stay!!,Montavilla,45.51702,-122.56776,Entire home/apt,122,2,26,170,0
3096,Woodlawn Artist’s Cottage,Woodlawn,45.57472,-122.65461,Entire home/apt,75,30,1,0,0
3097,Tiny House Experience in the heart of PDX,Arbor Lodge,45.56687,-122.68174,Entire home/apt,96,1,33,165,0
3098,Fresh Modern Home in the Alberta Arts District!,King,45.55524,-122.65375,Entire home/apt,225,2,33,319,0
3099,Urban Chic Apartment in the Alberta Arts District!,King,45.556,-122.65386,Entire home/apt,100,2,17,337,0
3100,FoPo ADU for your working or fun Portland get away,Lents,45.47831,-122.57038,Private room,100,2,5,168,1
3101,Stunning urban oasis in central Eliot District,Eliot,45.54733,-122.66401,Private room,68,2,18,53,1
3102,"Long stay discount,Classic Portland home,Sellwood",Sellwood-Moreland Improvement League,45.46725,-122.64982,Entire home/apt,116,31,2,143,0
3103,Hawthorne Hideaway w/ 3 Beds,Buckman,45.51361,-122.64093,Entire home/apt,123,1,57,346,0
3104,Kenton Hotel Columbia Gorge Suite,Kenton,45.58257,-122.68426,Private room,73,1,30,363,1
3105,Tiny Oasis in Alberta Arts District,Concordia,45.55818,-122.63737,Entire home/apt,64,1,82,334,0
3106,Ladd's Addition Bohemian Paradise Spacious Studio,Hosford-Abernethy,45.50576,-122.65568,Entire home/apt,80,1,79,335,0
3107,North Portland Townhouse,Arbor Lodge,45.56973,-122.68026,Entire home/apt,150,1,21,14,0
3108,"Relax in Vibrant NoPo, 15 min to Downtown!",Kenton,45.57753,-122.69683,Entire home/apt,80,1,15,209,0
3109,Spacious classic home w/deck one block from dining,Richmond,45.50426,-122.63342,Entire home/apt,250,5,2,0,0
3110,Sanctuary Room with Private Outdoor Spa,Richmond,45.50644015336032,-122.6304401964555,Private room,65,1,0,31,1
3111,"Studio apartment in Storybook Tudor, Woodstock",Woodstock,45.47966,-122.60825,Entire home/apt,102,2,16,225,0
3112,Cozy & Charming Alberta Arts Craftsman Home,Woodlawn,45.56644,-122.64843,Entire home/apt,124,4,26,95,0
3113,Million Dollar Downtown View Penthouse,Pleasant Valley,45.471279,-122.541557,Entire home/apt,105,3,18,322,0
3114,Private guest suite located in dream house,Pleasant Valley,45.471279,-122.541557,Entire home/apt,85,5,8,353,0
3115,*New* Small Studio In NE (Cully/Beaumont-Wilshire),Cully,45.55583,-122.60789,Entire home/apt,62,1,66,68,0
3116,Delightful One Bedroom in the Heart of SE Portland,Hosford-Abernethy,45.51219,-122.64949,Entire home/apt,73,2,6,1,0
3117,Woodlark,Portland Downtown,45.520462,-122.680519,Hotel room,0,1,0,0,3
3118,Traveller's Nest facing the River!,Old Town/Chinatown,45.52679,-122.67116,Entire home/apt,150,4,12,144,0
3119,"Cozy, Minimal Artist's One Bedroom Suite",Roseway,45.54346,-122.59134,Entire home/apt,65,1,21,77,0
3120,Furnished 2BD side of duplex in quiet neighborhood,South Burlingame,45.46818,-122.68874,Entire home/apt,120,30,0,248,0
3121,Charming & Cozy 2 BR in the BEST location of PDX,Buckman,45.52212,-122.65382,Entire home/apt,108,1,63,124,0
3122,Hawthorne Hale,Richmond,45.5108,-122.63203,Entire home/apt,90,30,4,133,0
3123,Cozy Private Room @ the Overlook Travelers Home,Overlook,45.5546,-122.68299,Private room,48,2,42,78,1
3124,Portland City Condo W/Balcony in NW/Alphabet 265SF,Northwest District,45.53041,-122.68925,Entire home/apt,55,30,2,194,0
3125,The Câlin Suite ~ Posh Local Boutiques & Eateries,Northwest District,45.53335,-122.69952,Entire home/apt,126,1,39,324,0
3126,"Excellent Location Next to Mississippi Ave, Covered Gazebo, Seating, Walk to Drinks & Food",Boise,45.54723,-122.67193,Entire home/apt,146,2,16,352,0
3127,The Fox Den—Stylish Parkside Studio,Irvington,45.54729,-122.65538,Entire home/apt,104,2,22,29,0
3128,Stunning Mod Inspired Apartment,Brentwood-Darlington,45.46536,-122.59263,Entire home/apt,81,2,29,250,0
3129,Hawthorne Hale - Skylit Attic,Richmond,45.51135,-122.63211,Private room,125,2,11,46,1
3130,Marguerite's Cottage Multnomah Village Portland OR,Multnomah,45.47527,-122.71107,Entire home/apt,93,2,25,104,0
3131,The Rest: Walk & explore from this relaxing space,King,45.56333,-122.65652,Entire home/apt,143,1,48,148,0
3132,BoHo Oasis in Ladd's Addition with 2 Beds,Hosford-Abernethy,45.50691,-122.65604,Entire home/apt,76,1,53,346,0
3133,Spacious and Bright 2BR/2Ba Bungalow Near Alberta!,Vernon,45.56305,-122.65069,Entire home/apt,325,1,17,0,0
3134,SE Portland Cottage in the City,Richmond,45.50089,-122.62193,Entire home/apt,114,1,5,351,0
3135,Cozy Bungalow in Historic Homestead Neighborhood,Homestead,45.49105,-122.68047,Entire home/apt,60,2,32,240,0
3136,Your Own Private Hideaway - Hot Tub & BBQ!,Brentwood-Darlington,45.475159,-122.600235,Entire home/apt,349,2,19,351,0
3137,Spacious High-Ceiling Studio Near Mt Tabor,Richmond,45.50032,-122.60905,Entire home/apt,50,30,1,252,0
3138,East Portland Easy Living,Montavilla,45.51194,-122.56879,Private room,60,1,0,90,1
3139,JOJO’S BLUE HOUSE. BLOCK FROM ALBERTA ARTS DIST.!!,Concordia,45.56292,-122.63743,Entire home/apt,589,2,9,232,0
3140,Stylish 2BR in Historic SE Ladd's Addition,Hosford-Abernethy,45.50781,-122.65105,Entire home/apt,135,30,2,56,0
3141,"Irvington Getaway - Close to MAX, OCC, & Moda",Irvington,45.53825,-122.65775,Entire home/apt,114,1,22,166,0
3142,Comfy & Cozy Filled Portland Apartment,Goose Hollow,45.52123,-122.68776,Entire home/apt,92,1,55,107,0
3143,Tiny Living in Alberta Arts District,Concordia,45.55853,-122.63707,Entire home/apt,64,1,70,325,0
3144,Garden Guest Suite,Piedmont,45.5787,-122.67215,Entire home/apt,70,7,1,4,0
3145,Heart of Historic Laurelhurst -Walk to Everywhere!,Laurelhurst,45.52392,-122.62281,Entire home/apt,199,2,15,103,0
3146,Zen Den,Parkrose,45.55013,-122.54884,Entire home/apt,94,1,0,0,0
3147,Modern Eastside Studio close to I205,Powellhurst-Gilbert,45.50011,-122.5416,Entire home/apt,60,2,15,161,0
3148,"Spacious 2BR w/Peloton, 🔥Pit, & min to Mississippi",Humboldt,45.55503,-122.67354,Entire home/apt,330,1,22,261,0
3149,🌈 Spacious Craftsman in ❤ of Hawthorne-Division!,Richmond,45.50847,-122.6152,Entire home/apt,343,2,20,319,0
3150,"Friendly, Clean & New Studio Basement Apartment",Lents,45.47842,-122.57747,Entire home/apt,50,2,27,62,0
3151,Bright Craftsman epic record collection & hot tub,Hosford-Abernethy,45.50539720466604,-122.64317402496404,Entire home/apt,185,3,0,111,0
3152,Hawthorne 2 Bed 2 Bath - ADA Accessible w/ parking,Buckman,45.5154,-122.653,Entire home/apt,275,2,20,173,0
3153,Lavishly modern townhouse,Northwest District,45.53518,-122.70602,Entire home/apt,225,1,23,0,0
3154,Foxtail Studio,Northwest District,45.536171,-122.707069,Entire home/apt,112,1,9,43,0
