,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
57,Great room in a fantastic location!,Marina,37.80284,-122.42839,Private room,105,30,70,365,1
58,Large garden studio  apt. near Golden Gate Park,Outer Richmond,37.77737,-122.47985,Entire home/apt,90,30,100,336,0
59,Beautiful 1bdr apt by Dolores Park in Mission,Mission,37.75393,-122.42505,Entire home/apt,326,30,42,251,0
60,Private 1BR Inner Richmond Apt,Inner Richmond,37.77585,-122.46413,Entire home/apt,80,30,58,328,0
61,Panorama Pacific View - Pet Friendly,Outer Richmond,37.77505,-122.50776,Entire home/apt,185,30,8,334,0
62,Noe Valley Eco-Escape +Maid Service,Bernal Heights,37.74544,-122.42271,Entire home/apt,110,30,11,334,0
63,Single Bed In 8 Bed Dorm Room #1,Financial District,37.7937,-122.40417,Shared room,45,1,404,91,2
64,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",Bernal Heights,37.74409,-122.40846,Entire home/apt,113,3,199,155,0
65,スタジオアパート,Inner Richmond,37.77487,-122.46543,Entire home/apt,80,30,2,359,0
66,Large loft studio in the center of SF. F1A,Western Addition,37.77489,-122.4322,Entire home/apt,90,30,70,278,0
67,Single Bed In 8 Bed Dorm Room #2,Financial District,37.7937,-122.40417,Shared room,45,1,489,73,2
68,Wonderful private 1 bedroom apt. F6,Western Addition,37.77487,-122.43221,Entire home/apt,100,30,53,306,0
69,Views of SF from a nice studio F5,Western Addition,37.77497,-122.4323,Entire home/apt,100,30,25,326,0
70,Social Distance Friendly Private Studio,Glen Park,37.73711,-122.43525,Entire home/apt,129,3,326,203,0
71,Heart of the Mission: Hot spot,Mission,37.75585,-122.42081,Private room,85,30,92,365,1
72,Hideaway in the Haight,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135,30,27,143,0
73,Sweet 1 br Garden Apartment -  Lewhit Cottage,Western Addition,37.78408,-122.44436,Entire home/apt,72,30,24,230,0
74,Charming Lower Pac Hts Private Room,Western Addition,37.78353,-122.44369,Private room,90,30,100,250,1
75,Sunny SF Flat with 5*s,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225,30,95,337,0
76,Prime Location Bright Private Room,Pacific Heights,37.79359,-122.42421,Private room,49,30,140,365,1
77,Spacious Edwardian Flat SF Mission,Mission,37.76945,-122.42456,Entire home/apt,249,30,21,40,0
78,Private Room in San Francisco!,Outer Sunset,37.75699,-122.4973,Private room,90,45,4,364,1
79,San Francisco Serenity/ lovely home,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,140,2,412,348,0
80,Charming Cottage with Bay View,Bayview,37.71664,-122.38981,Entire home/apt,120,30,9,337,0
81,Room w/ a View in the Castro!,Castro/Upper Market,37.75939,-122.43051,Private room,115,1,618,334,1
82,Telegraph Hill-Full Bay View.Updated 1br++.Parking,North Beach,37.80599,-122.40943,Entire home/apt,130,30,15,155,0
83,Victorian 1BR/1BA in Castro/Duboce,Western Addition,37.77117,-122.43292,Entire home/apt,110,30,36,61,0
84,Golden Gate Park/UCSF Family High-Tech Victorian,Inner Sunset,37.76317,-122.47029,Entire home/apt,580,7,16,298,0
85,Castro Sanctuary,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,295,2,165,309,0
86,Emergency happy room-sink  UCSF/USF-San Francisco,Haight Ashbury,37.76555,-122.45213,Private room,56,32,11,365,1
87,"Calm, Cool & Collected
on Sunny Bernal Hill",Bernal Heights,37.73987,-122.4234,Private room,96,1,150,165,1
