,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,room
55,*Cool Space* BOSTONS BEST!!* Minutes to Center*,Roxbury,42.32795,-71.09412,Entire home/apt,209,3,59,122,0
56,"Little Italy, Historic, Freedom Trail, TD Garden",North End,42.36695,-71.05601,Entire home/apt,106,1,647,159,0
57,"Modern Loft, 1700 SqFt. Location!",Downtown,42.3558,-71.06104,Entire home/apt,230,6,78,0,0
58,Private Room in Spacious Apartment3,Dorchester,42.29962,-71.08212,Private room,67,91,7,358,1
59,Private Room in Spacious Apartment2,Dorchester,42.29961,-71.07781,Private room,70,91,26,363,1
60,"Roof deck-city views. Walk everywhere! 2BR, 2 bath",South End,42.3451,-71.0715,Entire home/apt,595,3,12,41,0
61,GORGEOUS WATER FRT NORTH END STUDIO,North End,42.3665,-71.05296,Entire home/apt,95,2,487,71,0
62,Private room in house,Roslindale,42.29017,-71.13169,Private room,90,15,62,334,1
63,"Little Italy Historic, Freedom Trail, TD Garden",North End,42.36541,-71.05404,Entire home/apt,166,1,635,162,0
64,Perfect Central Location Sleeps 1-4,Downtown,42.35888,-71.06032,Entire home/apt,257,91,60,365,0
65,"The Dalton Apartment at The Upton, South End",South End,42.34308,-71.07316,Entire home/apt,214,1,62,103,0
66,HANCOCK TOWER/COPLEY ROOM,South End,42.34575,-71.07285,Private room,136,29,257,89,1
67,"Easy access to Airport, Downtown, Seaport. Fenway",East Boston,42.38497,-71.01827,Entire home/apt,174,2,87,364,0
68,Spacious 1 bdrm in Beacon Hill,Downtown,42.36194,-71.06256,Entire home/apt,160,91,8,0,0
69,Cozy JP Studio-Great Location!,Jamaica Plain,42.31653,-71.11049,Entire home/apt,94,2,327,0,0
70,"Studio Apt. for Rent in South End,",South End,42.34022,-71.075,Entire home/apt,176,91,0,0,0
71,Duplex Penthouse in Longwood Area,Mission Hill,42.33287,-71.10191,Entire home/apt,110,91,32,153,0
72,4 bedroom Victorian Condo unit,Jamaica Plain,42.32031,-71.1129,Entire home/apt,448,2,82,285,0
73,Victorian charm in the city,Dorchester,42.30347,-71.06409,Private room,38,91,194,365,1
74,Long-term Rental: Single Room/Sh Bath/No Cooking,Roslindale,42.2941,-71.13141,Private room,26,91,8,231,1
75,Beacon Hill 1-Bed,Beacon Hill,42.35977,-71.06774,Entire home/apt,207,91,65,0,0
76,"The Washington Apartment at The Upton, South End",South End,42.34294,-71.07304,Entire home/apt,170,1,65,95,0
77,Historic Beacon Hill,Beacon Hill,42.35714,-71.06968,Entire home/apt,425,91,23,359,0
78,Barney's Master Bedroom T Downtown,Dorchester,42.30907,-71.04674,Private room,41,1,580,0,1
79,"Authentic Boston, cozy room",Roxbury,42.32546,-71.08894,Private room,65,28,41,37,1
80,"Real Boston, off the beaten track",Roxbury,42.32546,-71.08894,Private room,67,29,39,126,1
81,Big Boston room,Roxbury,42.32546,-71.08894,Private room,75,29,20,138,1
82,Historic brick Victorian row house,South End,42.34164,-71.07964,Private room,350,2,27,71,1
83,Bright Sunlit bedroom near Spaulding/Downtown,Charlestown,42.38017,-71.06236,Private room,45,29,109,146,1
84,Inviting Queen Anne Victorian,Dorchester,42.30835,-71.04654,Private room,80,29,311,365,1
85,Room with Sleeper Sofa Bed,Dorchester,42.30818,-71.04784,Private room,60,29,45,365,1
86,Beautiful Studio 15 min to Downtown,Charlestown,42.38324,-71.07852,Entire home/apt,109,2,42,5,0
87,Charming Historic Home in Charlestown,Charlestown,42.37243,-71.06349,Entire home/apt,350,3,29,150,0
88,Large 1 Bed Apt w/ Full Kitchen & Bath + Parking!,Brighton,42.34873,-71.15693,Entire home/apt,113,1,162,155,0
89,2 bed/2 bath in the heart of Boston,Fenway,42.34175,-71.08359,Entire home/apt,415,91,43,365,0
90,4-story Central Luxury (message for short stays),Bay Village,42.34988,-71.06918,Entire home/apt,209,29,141,87,0
91,"Fort Hill Top - 2Bk Private room,  brick townhouse",Roxbury,42.3256,-71.09413,Private room,49,30,23,55,1
92,Large Private Bedroom & Bathroom by the Seaport,South Boston,42.33835,-71.0472,Private room,100,1,307,111,1
93,Room in Rozzie-Twin Bed-Full Bath,Roslindale,42.28132,-71.13377,Private room,58,29,37,0,1
94,"Sunny, welcoming 2 - bedroom condo in Boston",Brighton,42.35103,-71.17252,Entire home/apt,100,3,47,157,0
95,Charming 2 level Apartment,Roxbury,42.32382,-71.09641,Entire home/apt,120,30,233,352,0
96,Urban oasis trendy JP 'hood - suite,Jamaica Plain,42.31293,-71.11527,Entire home/apt,155,2,231,284,0
97,Quiet Sunlit Attic Studio,Roslindale,42.28639,-71.13199,Entire home/apt,79,30,7,339,0
98,Charming sunlit house in Boston,Roslindale,42.28447,-71.13301,Entire home/apt,180,29,44,229,0
99,king sized bed/ Private room in a spacious condo,Dorchester,42.29009,-71.05762,Private room,45,1,137,256,1
100,Room for 2 in Rozzie - Full Bath,Roslindale,42.28127,-71.13304,Private room,69,29,40,212,1
101,3Bed/2.5Bath Luxury Triplex South End's Union Park,South End,42.34279,-71.0711,Entire home/apt,890,29,44,231,0
102,Back Bay Elegance in Brighton,Brighton,42.3569,-71.1624,Private room,99,29,303,184,1
103,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",Fenway,42.34981,-71.09476,Entire home/apt,265,91,2,273,0
104,Queen Size Four Poster Bed,Dorchester,42.30837,-71.0461,Private room,100,29,211,365,1
105,Private Apartment- Minutes from T!,Jamaica Plain,42.29867,-71.1131,Entire home/apt,148,1,584,282,0
106,Beautiful Penthouse in Beacon Hill,Beacon Hill,42.35985,-71.0717,Entire home/apt,239,91,1,0,0
107,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",Jamaica Plain,42.3079,-71.12378,Entire home/apt,1299,91,105,0,0
108,"Sea view,balcony,15min by metro to center,safe st",Dorchester,42.31465,-71.0624,Private room,95,2,150,356,1
109,One Private Bedroom in J.P.,Jamaica Plain,42.30593,-71.10733,Private room,120,91,38,365,1
110,1 bedroom and private bathroom,Brighton,42.34245,-71.15758,Private room,67,3,236,64,1
111,Spacious Updated 2 Bed Boston Condo w/ Deck,South Boston,42.3358,-71.04948,Entire home/apt,650,1,8,87,0
112,Spacious Updated Boston Room/Condo,South Boston,42.33375,-71.04767,Private room,220,29,85,353,1
113,Back Bay Studio,Back Bay,42.3504,-71.08891,Entire home/apt,70,91,34,0,0
114,"Studio, w kitchenette, in owner's Beacon Hill home",Beacon Hill,42.35771,-71.06978,Entire home/apt,165,29,111,91,0
115,Modern 2Bd1BA in Downtown Boston,Downtown,42.3559,-71.05998,Entire home/apt,300,91,7,0,0
116,Historic Boston North End Condo,North End,42.36446,-71.05429,Entire home/apt,195,91,169,339,0
117,"The Clare Suite at The Upton, South End",South End,42.34303,-71.07305,Entire home/apt,210,3,44,11,0
118,furnished 1 bed apartment copley #5,South End,42.34125,-71.07604,Entire home/apt,175,33,73,315,0
119,Modern South End Pied a Terre | 1BR 1BA,South End,42.33662,-71.0753,Entire home/apt,200,28,88,215,0
120,Light-filled Private Suite on Beautiful Street,Jamaica Plain,42.31146,-71.11947,Entire home/apt,144,2,148,158,0
121,* Brownstone Classic South End,South End,42.34568,-71.07169,Entire home/apt,119,29,408,0,0
122,1 BR Condo in a PRIME location with FULL amenities,South End,42.34506,-71.06159,Entire home/apt,139,91,0,207,0
123,Sunny Beacon Hill summer rental,Downtown,42.35702,-71.06168,Entire home/apt,100,91,36,214,0
124,Beacon Hill apartment - 1 bedroom + office,Beacon Hill,42.3596,-71.06555,Entire home/apt,65,91,0,0,0
125,"The Tremont Apartment at The Upton, South End",South End,42.34309,-71.07316,Entire home/apt,189,2,39,13,0
126,Charming comfort 1 BR / Studio,Brighton,42.34272,-71.15672,Entire home/apt,52,91,16,231,0
127,Cozy room in a charming villa.,Roslindale,42.27909,-71.13597,Private room,40,28,41,138,1
128,"Beautiful Boston North End spacious Light 2Bd, 1BA-2D",North End,42.36597,-71.05271,Entire home/apt,119,31,145,250,0
129,"Modern loft, walk to subway",Allston,42.35429,-71.13251,Private room,85,91,12,0,1
130,Charlesview Suites Back Bay,Back Bay,42.34492,-71.08482,Entire home/apt,280,29,78,365,0
131,Lofty Modern 2BD Apt 800 sq ft,Bay Village,42.34868,-71.07043,Entire home/apt,200,29,26,0,0
132,South End Chic,South End,42.34278,-71.07005,Entire home/apt,160,91,5,0,0
133,Perfect Location to Explore Boston,Beacon Hill,42.35902,-71.06296,Entire home/apt,150,365,100,107,0
134,"""Tranquility"" on ""Top of the Hill""",Roslindale,42.28278,-71.13878,Private room,85,91,75,365,1
135,SECOND FLOOR PARLOR ROOM,South End,42.34514,-71.07302,Private room,140,29,177,89,1
136,Beautiful 3 bedroom 2 bath apt in Charlestown,Charlestown,42.38148,-71.06967,Private room,595,5,0,365,1
137,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,Hyde Park,42.26043,-71.11766,Entire home/apt,249,2,100,7,0
138,Luxury Sunny Hill Garden Townhouse Suite 1,Roxbury,42.31018,-71.08543,Entire home/apt,450,31,14,364,0
139,Garden Oasis #1,Jamaica Plain,42.31893,-71.11701,Private room,95,91,27,0,1
140,1bd APT 20min from Downtown Boston,Hyde Park,42.23533,-71.13256,Entire home/apt,89,91,33,243,0
141,Very Short Walk to the Red Line!,Dorchester,42.28814,-71.06889,Private room,45,30,7,364,1
142,1bd Boston apt - Convenient & quiet,Roslindale,42.28657,-71.13236,Entire home/apt,149,6,119,21,0
143,"Garden Suite near subway, beach",Dorchester,42.31281,-71.06098,Entire home/apt,123,2,209,289,0
144,Back Bay Quiet Renovated Studio Apt,Back Bay,42.35311,-71.08213,Entire home/apt,119,29,252,163,0
145,Quiet Southie 2bd Near the Beach and Broadway,South Boston,42.33306,-71.03291,Entire home/apt,107,29,23,353,0
146,Treetop Paradise by Jamaica Pond,Jamaica Plain,42.31632,-71.11417,Entire home/apt,139,91,15,365,0
147,Brownstone Bedroom Park & Garden Views by LMA & T,Roxbury,42.32811,-71.09157,Private room,75,2,255,87,1
148,"Eagle Sea view,15min metro ride to center,safe st!",Dorchester,42.31311,-71.06232,Private room,70,2,105,354,1
149,Gorgeous Condo w Huge Patio Back Bay Boston Common,Downtown,42.35065,-71.0666,Entire home/apt,350,91,0,0,0
